song_name,artist_name,album_name,release_date,song_id,danceability,energy,tempo,key
Love,Keyshia Cole,The Way It Is,2005-01-01,0W4NhJhcqKCqEP2GIpDCDq,,,,
Lovers Rock,TV Girl,French Exit,2014-06-05,6dBUzqjtbnIa1TwYbyw5CM,,,,
Love Story,Taylor Swift,Fearless - Big Machine Radio Release Special,2008-11-11,1D4PL9B8gOg78jiHg3FvBb,,,,
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,0u2P5u6lvoDfwTYjAADbn4,,,,
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),2021-02-12,3CeCwYWvdfXbZLXFhBrbnf,,,,
Lover,Taylor Swift,Lover,2019-08-23,1dGr1c8CrMLDpV6mPbImSI,,,,
Love The Way You Lie,Eminem,Recovery,2010-06-18,15JINEqzVMv3SvJTAXAKED,,,,
Lovely Day,Bill Withers,Menagerie,1977-10-29,0bRXwKfigvpKZUurwqAlEh,,,,
Love In The Dark,Adele,25,2015-11-20,0DuWDLjriRPjDRoPgaCslY,,,,
Love On The Brain,Rihanna,ANTI (Deluxe),2016-01-28,5oO3drDxtziYU2H1X23ZIp,,,,
Love Potions,BJ Lips,Cum n Cocaine,2021-08-02,6ZK4VMxfEYLPqpSvX2l4iY,,,,
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),2013-01-01,2XHzzp1j4IfTNp1FTn7YFg,,,,
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,50kpGaPAhYJ3sGmk6vplg0,,,,
"Lover, You Should've Come Over",Jeff Buckley,Grace,1994,6Jv7kjGkhY2fT4yuBF3aTz,,,,
Love Really Hurts Without You,Billy Ocean,Billy Ocean (Expanded Edition),1976-01-05,4GhtDORJiSRYxj6M1bv0vX,,,,
Love Will Tear Us Apart,Joy Division,The Best Of,2008-03-20,2JO3HwMRPeya8bXbtbyPcf,,,,
Lovefool,The Cardigans,First Band On The Moon (Remastered),1996-01-01,7aQjPecQdIuNd1sz3KCDhD,,,,
Lovers,Anna of the North,Lovers,2017-09-08,6bZuZKR8hoyzZXNh1IW2Bu,,,,
Love Me JeJe,Tems,Love Me JeJe,2024-04-25,47hsUYxvbTlBAN3sP9dEOd,,,,
Loveeeeeee Song,Rihanna,Unapologetic - Deluxe,2012-12-11,5Mk1tgVrSuoWWwPVFNS0jB,,,,
Love Songs - Bonus,Kaash Paige,Parked Car Convos,2019-11-15,6qL5UWxRSQYml9O99ozoLv,,,,
Love Me Again,John Newman,Tribute,2013-01-01,5TbzAWWc5eJaANpA9kfGCd,,,,
Love Me JeJe,Tems,Born in the Wild,2024-06-06,1eDI5oU04SLsXl0TfxfwYf,,,,
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,6PGoSes0D9eUDeeAafB2As,,,,
Love Sosa,Chief Keef,Finally Rich,2012-01-01,01Lr5YepbgjXAWR9iOEyH1,,,,
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,51rfRCiUSvxXlCSCfIztBy,,,,
Love Me,Lil Tecca,We Love You Tecca,2019-08-30,4e0FYxSROat25pH16zMTZI,,,,
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,0Cy7wt6IlRfBPHXXjmZbcP,,,,
love is embarrassing,Olivia Rodrigo,GUTS,2023-09-08,26QLJMK8G0M06sk7h7Fkse,,,,
Love On Top,Beyoncé,4,2011-06-24,1z6WtY7X4HQJvzxC4UgkSf,,,,
Love Will Tear Us Apart - 2020 Remaster,Joy Division,Love Will Tear Us Apart,1980-06-01,34iOH7LY3vme5rQxsVILZ4,,,,
Love Shack,The B-52's,Cosmic Thing,1989-06-23,4W4wYHtsrgDiivRASVOINL,,,,
Love Song,Sara Bareilles,Little Voice,2007-07-03,4E6cwWJWZw2zWf7VFbH7wf,,,,
Love Story,Indila,Mini World,2014-01-01,6nGeLlakfzlBcFdZXteDq7,,,,
Love Yourz,J. Cole,2014 Forest Hills Drive,2014-12-09,2e3Ea0o24lReQFR4FA7yXH,,,,
Love Lost,Mac Miller,"I Love Life, Thank You",2022-07-22,2z9iuAxKv4TTeCrPAxxKg9,,,,
Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Broken By Desire To Be Heavenly Sent,2023-05-19,2qyeAiFswWB2PmYhdeObTP,,,,
Love Galore (feat. Travis Scott),SZA,Ctrl,2017-06-09,0q75NwOoFiARAVp4EXU4Bs,,,,
Love Me Again,V,Layover,2023-08-11,2N0SPREDYqILVEFSsWF5N5,,,,
Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa,2017-07-14,3sTN90bIP2cJ1783ctHykO,,,,
Love Is Only a Feeling,Joey Bada$$,Love Is Only a Feeling,2017-07-06,7umZiitjVsEjMQ6HNddpUI,,,,
love nwantiti (ah ah ah),CKay,CKay The First,2019-08-30,2Xr1dTzJee307rmrkt8c0g,,,,
Love in This Club (feat. Young Jeezy),USHER,Here I Stand,2008-05-27,5j0McHPthKpOXRr3fBq8M0,,,,
Love,Young Smokes,Love,2023-12-29,34bAi2WbKYwH04L4HCcalc,,,,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Frozen - Original Motion Picture Soundtrack / Deluxe Edition,2013-01-01,3IPnBzGRMg6BfViFxxa0Gq,,,,
LoveGame,Lady Gaga,The Fame,2008-01-01,0eH2eHURaXUP15D8gQlfjx,,,,
Love The Way You Lie (Part II) - Pt. 2,Rihanna,Loud,2010-11-16,6M6lsQB4OhqL41eld29PeC,,,,
Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2021-04-09,6YvqWjhGD8mB5QXcbcUKtx,,,,
Love Me Anyway,Chappell Roan,Love Me Anyway,2020-05-01,53KWkwzQq47p13swqiLAMI,,,,
Love Songs,Kaash Paige,lofi love,2021-07-23,0tziUvXJBqjdmV8gWxOjfV,,,,
The Love Club,Lorde,The Love Club EP,2013-03-08,2HotTAoFiOYTeMZkNs1Ces,,,,
Love Me Harder,Ariana Grande,My Everything - Deluxe,2014-08-22,5J4ZkQpzMUFojo1CtAZYpn,,,,
Love at First Sight,Kylie Minogue,Fever,2001-10-01,0NMUFQdEFjftg0BQnyZCsh,,,,
Love Of My Life - Remastered 2011,Queen,A Night At The Opera (Deluxe Edition 2011 Remaster),1975-11-21,4YJUTdZ0Pgl0ZeNyHYXeLd,,,,
Love Is A Losing Game,Amy Winehouse,Back To Black,2006-10-27,570ZDO2Lmh6NQChOU5xPUL,,,,
Love Is A Losing Game,Amy Winehouse,Back To Black (Deluxe Edition),2006,3uliGwmB52ZA7brgpZMzyH,,,,
Love Story (vs Finally) - Tim Deluxe Radio Mix,Layo & Bushwacka!,Love Story (vs Finally),2003-01-13,5uiSORQVySTbbtuuJETfre,,,,
Love Tonight (David Guetta Remix Edit),Shouse,Love Tonight (David Guetta Remix),2021-06-11,2prnn41CblB8B4yWACDljP,,,,
Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,1970-01-01,5Ts1DYOuouQLgzTaisxWYh,,,,
Love Me Again,V,Layover,2023-09-08,0SftJDguUa1F5SsQwwkLw4,,,,
L-O-V-E,Nat King Cole,L-O-V-E,1965-01-11,4QxDOjgpYtQDxxbWPuEJOy,,,,
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,,,,
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,0laYHRpNTS6i8FXdupHkJ4,,,,
Love Is in the Air,John Paul Young,Classic Hits,2006-07-29,4v2K1ZcRXUc87CLtEXI3Pf,,,,
Love,Lana Del Rey,Lust For Life,2017-07-21,2Kerz9H9IejzeIpjhDJoYG,,,,
Love,Mollis,Love,2024-09-04,1beRD6pbKW4rFT3kCNfvKo,,,,
Love,D-Block Europe,PTSD,2019-09-27,1P8k58vOnsO444yxjxGZt7,,,,
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,3JvKfv6T31zO0ini8iNItO,,,,
Love,Kouz1,AFROBOY,2023-01-13,0H0KoHgEWXn2n6BFWSozzS,,,,
Cruel Summer,Taylor Swift,Lover,2019-08-23,1BxfuPKGuaTgP7aM0Bbdwr,,,,
Love,Musiq Soulchild,Aijuswanaseing,2000-11-14,7cNl9yAs9sScxAPIjM1fb4,,,,
Lovesong - Remastered,The Cure,Disintegration (Deluxe Edition),1989-05-02,2mIrfke7vosXAEWfz6ucyo,,,,
Love,FACESOUL,YSRA,2021-10-13,5dU3p2ia4wDvODpA04g50e,,,,
Love Lies (with Normani),Khalid,Love Lies (with Normani),2018-02-14,45Egmo7icyopuzJN0oMEdk,,,,
Love,Nancy Adams,Walt Disney Records The Legacy Collection: Robin Hood,2017-08-04,3M6YfoPwvvTHK1mnCQmqHI,,,,
Love You More,Snoop Dogg,Bosco (Original Motion Picture Soundtrack) - Side A,2024-09-27,6lA5ObZokEWqLzfvCAlSyr,,,,
Love,Friede,Sleep Therapy,2024-06-14,6cwwnBN7eYgBPf7QFbXL2w,,,,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),2015-11-06,3zHq9ouUJQFQRf3cm1rRLu,,,,
Love,Disney Peaceful Guitar,Disney Guitar: Break Time,2021-09-17,1YTirJpIZARdMpMYspPo0Y,,,,
LOVELY BASTARDS,ZWE1HVNDXR,LOVELY BASTARDS,2023-08-25,0EqczV3o6fwksegAavIHpX,,,,
Love,Imagine Dragons,Origins (Deluxe),2018-11-09,5d41vXH0zvpwUrHrmqKqDc,,,,
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,3vkCueOmm7xQDoJ17W1Pm3,,,,
Love,SWIM,Love,2020-10-15,3VFzHURuTvtVeUZW00rrLa,,,,
Love Again,Dua Lipa,Future Nostalgia,2020-03-27,4rPkN1FMzQyFNP9cLUGIIB,,,,
Love,Avenoir,Medea,2024-04-05,2eCdZl32tNYS2rPFIwKR8R,,,,
Love Is Gone - Acoustic,SLANDER,Love Is Gone (Acoustic),2019-11-13,7F1CiKqrY44kh5cDqwHOnx,,,,
love,DEAN,love,2017-05-19,6wcRv0UBvEH9NCIA3IVyQs,,,,
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,Picture This (20th Anniversary Edition),1995-04-10,0PCGfA36HrVPmsBZJ57zOU,,,,
Love,Chimastar,Feel it,2024-03-04,0pTyEMh2DKlkVYkwRBfydX,,,,
Love Survive,Michael Nau,Mowing,2016-11-18,6qwxJiUTDF3kl71W7hcLxZ,,,,
Love,Bunion,Love,2024-05-04,1XA18cBibnWZWgpPVHEDjV,,,,
Love,INNA,Hot,2010,2S6PttqbENA5jscXyLcZIT,,,,
Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,1981,0cGG2EouYCEEC3xfa0tDFV,,,,
Love,BUNT.,Levi Don't Do It,2024-01-19,0Zwn67tX4xwrgk4lVroMCS,,,,
Love,John Tard,Love,2024-09-22,549CpokRjleQYryMCf1iR7,,,,
